State,GA,Bill Identifier,URL,Path to full text,Keywords
Illinois,93,HB2296,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2296.htm,illinois/billtexts/GA93/HB2296.txt,"Citizenship, Foreign"
Illinois,93,HB2304,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2304.htm,illinois/billtexts/GA93/HB2304.txt,Foreign
Illinois,93,HB2319,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2319.htm,illinois/billtexts/GA93/HB2319.txt,Foreign
Illinois,93,HB2355,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2355.htm,illinois/billtexts/GA93/HB2355.txt,Foreign
Illinois,93,HB2415,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2415.htm,illinois/billtexts/GA93/HB2415.txt,Foreign
Illinois,93,HB2422,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2422.htm,illinois/billtexts/GA93/HB2422.txt,Foreign
Illinois,93,HB2429,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2429.htm,illinois/billtexts/GA93/HB2429.txt,"Immigration, Border"
Illinois,93,HB2469,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2469.htm,illinois/billtexts/GA93/HB2469.txt,"Alien, Foreign"
Illinois,93,HB2470,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2470.htm,illinois/billtexts/GA93/HB2470.txt,"Alien, Foreign"
Illinois,93,HB2484,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2484.htm,illinois/billtexts/GA93/HB2484.txt,Foreign
Illinois,93,HB2493,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2493.htm,illinois/billtexts/GA93/HB2493.txt,Foreign
Illinois,93,HB2499,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2499.htm,illinois/billtexts/GA93/HB2499.txt,Foreign
Illinois,93,HB2500,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2500.htm,illinois/billtexts/GA93/HB2500.txt,Foreign
Illinois,93,HB2504,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2504.htm,illinois/billtexts/GA93/HB2504.txt,Foreign
Illinois,93,HB2524,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2524.htm,illinois/billtexts/GA93/HB2524.txt,Foreign
Illinois,93,HB2532,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2532.htm,illinois/billtexts/GA93/HB2532.txt,"Citizenship, Alien"
Illinois,93,HB2538,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2538.htm,illinois/billtexts/GA93/HB2538.txt,Citizenship
Illinois,93,HB2553,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2553.htm,illinois/billtexts/GA93/HB2553.txt,Foreign
Illinois,93,HB2563,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2563.htm,illinois/billtexts/GA93/HB2563.txt,Border
Illinois,93,HB2573,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2573.htm,illinois/billtexts/GA93/HB2573.txt,"Citizenship, Foreign"
Illinois,93,HB2576,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2576.htm,illinois/billtexts/GA93/HB2576.txt,"Alien, Foreign"
Illinois,93,HB2598,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2598.htm,illinois/billtexts/GA93/HB2598.txt,Alien
Illinois,93,HB2605,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2605.htm,illinois/billtexts/GA93/HB2605.txt,Foreign
Illinois,93,HB2623,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2623.htm,illinois/billtexts/GA93/HB2623.txt,Foreign
Illinois,93,HB2651,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2651.htm,illinois/billtexts/GA93/HB2651.txt,"Immigration, Undocumented"
Illinois,93,HB2794,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2794.htm,illinois/billtexts/GA93/HB2794.txt,Foreign
Illinois,93,HB2810,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2810.htm,illinois/billtexts/GA93/HB2810.txt,Foreign
Illinois,93,HB2820,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2820.htm,illinois/billtexts/GA93/HB2820.txt,"Immigration, Alien, Visa, Foreign"
Illinois,93,HB2831,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2831.htm,illinois/billtexts/GA93/HB2831.txt,Foreign
Illinois,93,HB2838,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2838.htm,illinois/billtexts/GA93/HB2838.txt,Foreign
Illinois,93,HB2840,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2840.htm,illinois/billtexts/GA93/HB2840.txt,Foreign
Illinois,93,HB2855,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2855.htm,illinois/billtexts/GA93/HB2855.txt,Border
Illinois,93,HB2857,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2857.htm,illinois/billtexts/GA93/HB2857.txt,Foreign
Illinois,93,HB2868,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2868.htm,illinois/billtexts/GA93/HB2868.txt,Foreign
Illinois,93,HB2869,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2869.htm,illinois/billtexts/GA93/HB2869.txt,Foreign
Illinois,93,HB2889,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2889.htm,illinois/billtexts/GA93/HB2889.txt,Foreign
Illinois,93,HB2893,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2893.htm,illinois/billtexts/GA93/HB2893.txt,Border
Illinois,93,HB2898,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2898.htm,illinois/billtexts/GA93/HB2898.txt,Foreign
Illinois,93,HB2937,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2937.htm,illinois/billtexts/GA93/HB2937.txt,Foreign
Illinois,93,HB2941,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2941.htm,illinois/billtexts/GA93/HB2941.txt,Foreign
Illinois,93,HB2948,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2948.htm,illinois/billtexts/GA93/HB2948.txt,Foreign
Illinois,93,HB2992,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2992.htm,illinois/billtexts/GA93/HB2992.txt,Citizenship
Illinois,93,HB3006,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3006.htm,illinois/billtexts/GA93/HB3006.txt,Foreign
Illinois,93,HB3015,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3015.htm,illinois/billtexts/GA93/HB3015.txt,Foreign
Illinois,93,HB3019,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3019.htm,illinois/billtexts/GA93/HB3019.txt,Foreign
Illinois,93,HB3025,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3025.htm,illinois/billtexts/GA93/HB3025.txt,Foreign
Illinois,93,HB3046,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3046.htm,illinois/billtexts/GA93/HB3046.txt,Foreign
Illinois,93,HB3053,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3053.htm,illinois/billtexts/GA93/HB3053.txt,Foreign
Illinois,93,HB3054,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3054.htm,illinois/billtexts/GA93/HB3054.txt,Foreign
Illinois,93,HB3057,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3057.htm,illinois/billtexts/GA93/HB3057.txt,"Alien, Foreign"
Illinois,93,HB3068,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3068.htm,illinois/billtexts/GA93/HB3068.txt,"Citizenship, Foreign"
Illinois,93,HB3073,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3073.htm,illinois/billtexts/GA93/HB3073.txt,"Citizenship, Foreign"
Illinois,93,HB3085,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3085.htm,illinois/billtexts/GA93/HB3085.txt,"Immigration, Alien"
Illinois,93,HB3093,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3093.htm,illinois/billtexts/GA93/HB3093.txt,"Immigration, Alien"
Illinois,93,HB3109,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3109.htm,illinois/billtexts/GA93/HB3109.txt,Foreign
Illinois,93,HB3126,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3126.htm,illinois/billtexts/GA93/HB3126.txt,Foreign
Illinois,93,HB3129,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3129.htm,illinois/billtexts/GA93/HB3129.txt,Foreign
Illinois,93,HB3137,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3137.htm,illinois/billtexts/GA93/HB3137.txt,Foreign
Illinois,93,HB3154,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3154.htm,illinois/billtexts/GA93/HB3154.txt,"Immigration, Alien"
Illinois,93,HB3163,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3163.htm,illinois/billtexts/GA93/HB3163.txt,Foreign
Illinois,93,HB3173,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3173.htm,illinois/billtexts/GA93/HB3173.txt,Foreign
Illinois,93,HB3187,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3187.htm,illinois/billtexts/GA93/HB3187.txt,Foreign
Illinois,93,HB3188,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3188.htm,illinois/billtexts/GA93/HB3188.txt,"Immigration, Alien, Visa, Foreign"
Illinois,93,HB3207,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3207.htm,illinois/billtexts/GA93/HB3207.txt,"Citizenship, Foreign"
Illinois,93,HB3208,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3208.htm,illinois/billtexts/GA93/HB3208.txt,Foreign
Illinois,93,HB3212,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3212.htm,illinois/billtexts/GA93/HB3212.txt,Foreign
Illinois,93,HB3283,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3283.htm,illinois/billtexts/GA93/HB3283.txt,Foreign
Illinois,93,HB3309,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3309.htm,illinois/billtexts/GA93/HB3309.txt,Foreign
Illinois,93,HB3317,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3317.htm,illinois/billtexts/GA93/HB3317.txt,Foreign
Illinois,93,HB3318,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3318.htm,illinois/billtexts/GA93/HB3318.txt,Foreign
Illinois,93,HB3330,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3330.htm,illinois/billtexts/GA93/HB3330.txt,Foreign
Illinois,93,HB3332,https://www.ilga.gov/Documents/legislation/93/HB/09300HB3332.htm,illinois/billtexts/GA93/HB3332.txt,Foreign
