State,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,SF127,GRUENHAGEN,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF127&ga=91,bill_texts/GA91/SF127.txt,,,,Senate,,,,,,,Y,,,,,,,Citizenship
Iowa,SF297,"COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO SSB 1090) (As Amended and Passed by the Senate April 21, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=SF297&ga=91,bill_texts/GA91/SF297.txt,,,,Senate,,,,,,,Y,,,,,Chapter 13,,Foreign
Iowa,SF279,GREEN (COMPANION TO HF 230 BY BODEN),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF279&ga=91,bill_texts/GA91/SF279.txt,,,,Senate,,,,,,,Y,,,,,,,Alien
Iowa,SF227,TAYLOR,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF227&ga=91,bill_texts/GA91/SF227.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF221,SALMON,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF221&ga=91,bill_texts/GA91/SF221.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF396,COMMITTEE ON JUDICIARY (SUCCESSOR TO SSB 1126) (COMPANION TO HF 381 BY COMMITTEE ON JUDICIARY),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF396&ga=91,bill_texts/GA91/SF396.txt,,,,Senate,,,,,,,Y,,,,,Chapter 148,,Foreign
Iowa,SF390,COMMITTEE ON TRANSPORTATION (SUCCESSOR TO SSB 1043),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF390&ga=91,bill_texts/GA91/SF390.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF369,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF369&ga=91,bill_texts/GA91/SF369.txt,,,,Senate,,,,,,,Y,,,,,,,"Immigration, Citizenship"
Iowa,SF354,BOUSSELOT,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF354&ga=91,bill_texts/GA91/SF354.txt,,,,Senate,,,,,,,Y,,,,,,,Border
Iowa,SF307,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO SSB 1083),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF307&ga=91,bill_texts/GA91/SF307.txt,,,,Senate,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,SF302,WESTRICH (COMPANION TO HF 99 BY GUSTOFF),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF302&ga=91,bill_texts/GA91/SF302.txt,,,,Senate,,,,,,,Y,,,,,,,"Citizenship, Foreign"
Iowa,SF495,COMMITTEE ON LOCAL GOVERNMENT (SUCCESSOR TO SF 279) (COMPANION TO HF 645 BY COMMITTEE ON LOCAL GOVERNMENT),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF495&ga=91,bill_texts/GA91/SF495.txt,,,,Senate,,,,,,,Y,,,,,,,Alien
Iowa,SF494,"COMMITTEE ON LOCAL GOVERNMENT (SUCCESSOR TO SF 161) (As Amended and Passed by the Senate March 24, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=SF494&ga=91,bill_texts/GA91/SF494.txt,,,,Senate,,,,,,,Y,,,,,Chapter 199,,Alien
Iowa,SF479,TRONE GARRIOTT,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF479&ga=91,bill_texts/GA91/SF479.txt,,,,Senate,,,,,,,Y,,,,,Chapter 9,,Foreign
Iowa,SF477,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO SSB 1141) (COMPANION TO LSB 1872HV BY COMMITTEE ON STATE GOVERNMENT),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF477&ga=91,bill_texts/GA91/SF477.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF435,"WEINER, DONAHUE, DOTZLER, CELSI, STAED, and PETERSEN",,https://www.legis.iowa.gov/legislation/BillBook?ba=SF435&ga=91,bill_texts/GA91/SF435.txt,,,,Senate,,,,,,,Y,,,,,Chapter 468,,Border
Iowa,SF586,COMMITTEE ON JUDICIARY (SUCCESSOR TO SF 54),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF586&ga=91,bill_texts/GA91/SF586.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF570,COMMITTEE ON COMMERCE (SUCCESSOR TO SSB 1203),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF570&ga=91,bill_texts/GA91/SF570.txt,,,,Senate,,,,,,,Y,,,,,Chapter 490,,Foreign
Iowa,SF550,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO SSB 1088),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF550&ga=91,bill_texts/GA91/SF550.txt,,,,Senate,,,,,,,Y,,,,,,,Citizenship
Iowa,SF532,CELSI,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF532&ga=91,bill_texts/GA91/SF532.txt,,,,Senate,,,,,,,Y,,,,,Chapter 108,,Alien
Iowa,SF519,COMMITTEE ON EDUCATION (SUCCESSOR TO SF 127) (COMPANION TO HF 437 BY COMMITTEE ON HIGHER EDUCATION),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF519&ga=91,bill_texts/GA91/SF519.txt,,,,Senate,,,,,,,Y,,,,,,,Citizenship
