State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,89,SF553,COMMITTEE ON COMMERCE (SUCCESSOR TO SSB 1190) (COMPANION TO HF 719 BY COMMITTEE ON INFORMATION TECHNOLOGY),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF553&ga=89,bill_texts/GA89/SF553.txt,,,Chapter 22,,Foreign
Iowa,89,SF541,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF541&ga=89,bill_texts/GA89/SF541.txt,,,,,Foreign
Iowa,89,SF522,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF522&ga=89,bill_texts/GA89/SF522.txt,,,Chapter 125,,Foreign
Iowa,89,SF521,COMMITTEE ON JUDICIARY (SUCCESSOR TO SF 305),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF521&ga=89,bill_texts/GA89/SF521.txt,,,,,Migrant
Iowa,89,SF520,COMMITTEE ON JUDICIARY (SUCCESSOR TO SSB 1212),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF520&ga=89,bill_texts/GA89/SF520.txt,,,Chapter 489,,"Alien, Visa, Foreign"
Iowa,89,SF513,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF513&ga=89,bill_texts/GA89/SF513.txt,,,,,Border
Iowa,89,SF504,COURNOYER,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF504&ga=89,bill_texts/GA89/SF504.txt,,,,,Foreign
Iowa,89,SF621,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF621&ga=89,bill_texts/GA89/SF621.txt,,,Chapter 40,,Alien
Iowa,89,SF609,COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO SSB 1269),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF609&ga=89,bill_texts/GA89/SF609.txt,,,Chapter 423,,Foreign
Iowa,89,SF606,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO SSB 1267),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF606&ga=89,bill_texts/GA89/SF606.txt,,,Chapter 1056,,"Immigration, Citizenship"
Iowa,89,HSB95,(PROPOSED DEPARTMENT OF AGRICULTURE AND LAND STEWARDSHIP BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB95&ga=89,bill_texts/GA89/HSB95.txt,,,Chapter 22,,Border
